"","WAIC","pD","elpd","deviance","model"
"41",273.175232939637,21.0197921938754,-115.567824275943,346.858580831844,"Spatial model 4"
"6",276.243221013337,5.01412599635505,-133.107484510313,356.19093977852,"Model 6"
"21",280.853527469801,18.9565365466959,-121.470227188205,354.625105375713,"Spatial model 2"
"4",282.75723532931,3.14883337700352,-138.229784287651,356.656445838424,"Model 4"
"31",291.176967355776,21.2816129936449,-124.306870684243,364.507140385247,"Spatial model 3"
"5",293.822470520399,4.02954958991304,-142.881685670287,376.294038657708,"Model 5"
"11",302.430039287902,18.9822910435576,-132.232728600393,385.646376406919,"Spatial model 1"
"2",303.126332821196,3.32518582697568,-148.237980583622,409.0305286708,"Model 2"
"1",303.668859614248,2.12006959543633,-149.714360211688,387.738179575206,"Model 1"
"3",307.743822398714,6.89961210634909,-146.972299093008,374.499127283396,"Model 3"
