"","Rhat","Model"
"1",1.00081407355415,"Non-spatial 1"
"2",1.00152878487974,"Non-spatial 2"
"3",1.00194325038101,"Non-spatial 3"
"4",0.999706531784986,"Non-spatial 4"
"5",1.00110258906238,"Non-spatial 5"
"6",1.00138447826832,"Non-spatial 5"
"7",1.00904646057222,"Non-spatial 6"
"8",1.01006268567365,"Non-spatial 6"
"9",1.01199071070656,"Non-spatial 7"
"10",1.00624114791581,"Non-spatial 7"
"11",1.01075676298435,"Non-spatial 7"
"12",1.007754462451,"Spatial 1"
"13",1.01211591092406,"Spatial 2"
"14",1.00397883618225,"Spatial 2"
"15",1.00202978467561,"Spatial 3"
"16",1.00237588302059,"Spatial 3"
"17",1.00354564419188,"Spatial 4"
"18",1.00300371198153,"Spatial 4"
"19",1.00592171755169,"Spatial 4"
