"","ModelNo","CI2.5","CI50","CI97.5","ESS","Mean","Rhat","SD","Variable","Submodel","Type","spatial"
"1","Model 1",0.2378,0.5371,0.8469,2796,0.5397,1.0008,0.1589,"Int","Occ","Fixed","Non-spatial"
"2","Model 1",0.3326,0.7629,1.1707,3000,0.7628,1.0024,0.2149,"Int","Det","Fixed","Non-spatial"
"3","Model 2",0.3569,0.6983,1.1283,3000,0.7069,1.0015,0.1957,"Int","Occ","Fixed","Non-spatial"
"4","Model 2",0.0191,0.5128,0.995,3000,0.5094,1.0098,0.2518,"Int","Det","Fixed","Non-spatial"
"5","Model 2",-1.5656,-0.9074,-0.4498,2843,-0.9285,1.002,0.2887,"Discharge","Det","Fixed","Non-spatial"
"6","Model 3",0.5241,0.9588,1.4564,3000,0.9704,1.0019,0.239,"Int","Occ","Fixed","Non-spatial"
"7","Model 3",0.7198,1.2892,1.8512,3000,1.2907,1.0036,0.2833,"Int","Det","Fixed","Non-spatial"
"8","Model 3",-2.6652,-1.9327,-1.1221,2777,-1.9295,0.9997,0.3927,"Year 2023","Det","Fixed","Non-spatial"
"9","Model 4",0.2389,0.5374,0.8559,3000,0.5391,0.9997,0.1612,"Int","Occ","Fixed","Non-spatial"
"10","Model 4",0.3505,0.8132,1.2533,2757,0.8124,0.9999,0.2267,"Int","Det","Fixed","Non-spatial"
"11","Model 4",-0.5701,-0.2012,0.1873,3000,-0.2003,1.0004,0.1952,"Depth","Det","Fixed","Non-spatial"
"12","Model 5",0.6323,1.1398,1.7254,3000,1.1502,1.0011,0.2764,"Int","Occ","Fixed","Non-spatial"
"13","Model 5",0.0364,0.5364,1.1242,3000,0.548,1.0014,0.2777,"Depth","Occ","Fixed","Non-spatial"
"14","Model 5",0.7504,1.2977,1.8539,2890,1.2961,1.0025,0.2829,"Int","Det","Fixed","Non-spatial"
"15","Model 5",-2.8036,-2.0565,-1.2949,3000,-2.0547,1.0005,0.3767,"Year 2023","Det","Fixed","Non-spatial"
"16","Model 6",0.6359,1.0863,1.5721,3000,1.0922,1.009,0.241,"Int","Occ","Fixed","Non-spatial"
"17","Model 6",-1.5152,-0.7668,1.1229,1327,-0.6481,1.0101,0.6597,"Year 2023","Occ","Fixed","Non-spatial"
"18","Model 6",0.7297,1.3048,1.8676,2928,1.3014,1.0044,0.2895,"Int","Det","Fixed","Non-spatial"
"19","Model 6",-2.594,-1.4116,-0.5199,2162,-1.4523,1.0102,0.5339,"Year 2023","Det","Fixed","Non-spatial"
"20","Model 7",0.7124,1.1988,1.7704,2213,1.2106,1.012,0.2744,"Int","Occ","Fixed","Non-spatial"
"21","Model 7",0.0347,0.7159,1.492,1101,0.7196,1.0062,0.3836,"Depth","Occ","Fixed","Non-spatial"
"22","Model 7",-1.18,1.0537,3.7617,788,1.0618,1.0108,1.3499,"Year 2023","Occ","Fixed","Non-spatial"
"23","Model 7",0.7372,1.2765,1.8364,3137,1.2817,1.0002,0.2807,"Int","Det","Fixed","Non-spatial"
"24","Model 7",-3.0825,-2.3029,-0.9214,1007,-2.2203,1.0023,0.5354,"Year 2023","Det","Fixed","Non-spatial"
"25","Model 1 - spatial",0.5983,1.1087,1.8657,671,1.1369,1.0078,0.3193,"Int","Occ","Fixed","Spatial"
"26","Model 1 - spatial",0.7376,1.3002,1.8411,3000,1.2962,1.0009,0.2821,"Int","Det","Fixed","Spatial"
"27","Model 1 - spatial",-2.6657,-1.9331,-1.1135,2819,-1.9207,1.0017,0.3957,"Year 2023","Det","Fixed","Spatial"
"28","Model 1 - spatial",0.1923,0.6757,5.0343,252,1.1895,1.1612,1.934,"sigma^2","Spatial","Fixed","Spatial"
"29","Model 1 - spatial",0.0471,1.0531,2.276,768,1.0707,1.0453,0.7071,"phi","Spatial","Fixed","Spatial"
"30","Model 2 - spatial",0.7299,1.3134,2.1274,1219,1.339,1.0121,0.3556,"Int","Occ","Fixed","Spatial"
"31","Model 2 - spatial",0.0613,0.606,1.318,2135,0.6302,1.004,0.3238,"Depth","Occ","Fixed","Spatial"
"32","Model 2 - spatial",0.734,1.2975,1.8807,3000,1.3048,1.0006,0.289,"Int","Det","Fixed","Spatial"
"33","Model 2 - spatial",-2.7764,-2.0608,-1.3139,3151,-2.0537,1.0024,0.3671,"Year 2023","Det","Fixed","Spatial"
"34","Model 2 - spatial",0.1983,0.6771,5.0338,401,1.1324,1.1929,1.55,"sigma^2","Spatial","Fixed","Spatial"
"35","Model 2 - spatial",0.0184,0.9527,2.2783,431,1.0237,1.0048,0.7193,"phi","Spatial","Fixed","Spatial"
"36","Model 3 - spatial",0.7145,1.2569,2.0972,557,1.2855,1.002,0.3481,"Int","Occ","Fixed","Spatial"
"37","Model 3 - spatial",-1.8554,-0.8732,1.1004,1335,-0.783,1.0024,0.7139,"Year 2023","Occ","Fixed","Spatial"
"38","Model 3 - spatial",0.774,1.3178,1.8922,3000,1.3178,1.0018,0.282,"Int","Det","Fixed","Spatial"
"39","Model 3 - spatial",-2.5334,-1.4206,-0.5097,1970,-1.4599,1.0001,0.523,"Year 2023","Det","Fixed","Spatial"
"40","Model 3 - spatial",0.1899,0.7062,6.024,245,1.278,1.103,2.0736,"sigma^2","Spatial","Fixed","Spatial"
"41","Model 3 - spatial",0.0218,0.9563,2.2593,376,1.015,1.0101,0.7118,"phi","Spatial","Fixed","Spatial"
"42","Model 4 - spatial",0.7745,1.355,2.2078,718,1.3935,1.0035,0.3727,"Int","Occ","Fixed","Spatial"
"43","Model 4 - spatial",-0.0044,0.7005,1.6251,955,0.7238,1.003,0.4358,"Depth","Occ","Fixed","Spatial"
"44","Model 4 - spatial",-1.542,0.4728,3.5119,627,0.6251,1.0059,1.388,"Year 2023","Occ","Fixed","Spatial"
"45","Model 4 - spatial",0.7446,1.2774,1.8467,3000,1.2868,1.0015,0.2869,"Int","Det","Fixed","Spatial"
"46","Model 4 - spatial",-3.0243,-2.1607,-0.8377,856,-2.0721,1.0011,0.5719,"Year 2023","Det","Fixed","Spatial"
"47","Model 4 - spatial",0.1906,0.7214,5.4297,357,1.2242,1.0236,1.804,"sigma^2","Spatial","Fixed","Spatial"
"48","Model 4 - spatial",0.0523,1.0782,2.2764,1073,1.1051,1.0061,0.6836,"phi","Spatial","Fixed","Spatial"
